galaxy,subset,n_points,morph_slice,quality_flag,hubble_type,distance_mpc,luminosity_36e9_sol,mhi_1e9_sol_mass,gas_fraction_proxy,reff_kpc,rdisk_kpc,sbeff_sol_lum_pc2,rmse_c4_4_kms,rmse_baryon_kms,rmse_mond_kms,rmse_nfw_kms,rmse_iso_kms,rmse_burkert_kms,mae_c4_4_kms,mae_baryon_kms,mae_mond_kms,mae_nfw_kms,mae_iso_kms,mae_burkert_kms,median_abs_c4_4_kms,median_abs_baryon_kms,median_abs_mond_kms,median_abs_nfw_kms,median_abs_iso_kms,median_abs_burkert_kms,vflat_sample_kms,c4_vflat_proxy_kms,best_comparator_equal_weight
NGC6015,external_151,44,bulge_rich_hsb,2,6,17.0,32.129,5.834,0.15367594763322184,3.92,2.3,331.76,21.273980358861305,80.31117486994764,16.306512068173987,38.88648856955289,7.698746139555792,10.277531552280985,17.710235468824273,74.45324923706413,14.39382793191454,34.83020631566962,6.222610899551781,8.607720931453828,14.639415230407891,77.16521692943982,14.104382486939116,32.16699519979056,5.07991801177613,7.433628281218446,154.1,151.11861468068489,iso
NGC6195,external_151,23,bulge_rich_hsb,1,3,127.8,391.076,20.907,0.0507472395705648,9.52,13.94,686.8,76.44859319412639,105.72654345709893,70.57549767866604,79.04142940457929,18.35911038542959,26.87004989095531,63.04378486671175,101.5868647080802,59.951810957213304,75.46894576980534,14.17055712170969,25.13782323134915,56.861827694768124,93.39911209408174,57.63446432200257,67.69181942589381,10.486034049599795,25.12426935211525,251.7,326.7845122130624,iso
NGC6503,calibration_24,31,bulge_rich_hsb,1,6,6.26,12.845,1.744,0.11954212077592706,1.62,2.16,774.16,11.797688877853108,60.68658592644479,34.07151891096418,11.715215624633855,6.106590724760124,7.750628718591935,10.24070107829781,55.51790593125264,30.189162814538467,9.899176060548873,3.6392591365430556,5.427120257090582,10.286198137170132,61.94031575579465,29.566387823654765,11.719604125166597,1.8359095796581215,3.5365839287886303,116.3,133.49136880632722,iso
NGC6674,external_151,15,bulge_rich_hsb,1,3,51.2,214.654,32.165,0.1303181683743958,7.75,6.04,560.83,49.98661465828012,155.606041407747,25.007633497842015,118.26705489507789,29.75009726317477,57.43088748076507,41.17308936429572,153.59646302006004,20.56848021693892,117.41507003356578,28.100078120489588,53.91543787673404,33.19588334336743,147.50177348194052,20.100249165958076,113.27777479190455,26.153109229156428,48.10821936688643,241.3,253.63395699717938,mond
NGC6789,external_151,4,low_mass_dwarf,2,11,3.52,0.1,0.017,0.1452991452991453,0.52,0.31,59.27,24.500820058184527,27.837159812885687,10.349359085679946,7.110072094363605,0.8462791520593705,0.7728754188925372,21.149172282627724,24.033574356176228,7.80524388509326,6.425397267332947,0.5004390730430299,0.651168776845561,21.20336108444412,23.601226201082877,6.464533916192923,6.7860456409202,0.12603368085943245,0.5633908545194508,0.0,23.025051700670748,burkert
NGC6946,calibration_24,58,bulge_rich_hsb,1,6,5.52,66.173,5.67,0.07892209401055078,4.2,2.44,571.26,25.012409879209844,69.75909111566722,35.01068380221354,37.10311811256596,18.057037124448655,20.787374544876318,16.4943920636664,67.00348027032483,32.88864080475949,33.64633190943429,12.586771771098695,10.151054152192234,12.484120262729633,72.30433779488524,32.31428509299384,36.337245899116446,9.76392671086198,5.265463844875967,158.9,178.30097491354198,iso
NGC7331,external_151,36,bulge_rich_hsb,1,3,14.7,250.631,11.067,0.04228920358581266,3.99,5.02,2470.76,51.533370709783014,59.880695024892766,103.73571599622801,46.05032880160579,30.87642271247609,32.88424770860293,45.32584168445069,45.15683042217451,96.80912517114783,37.825172472091346,26.877837429444973,27.357965197388918,47.33742238357027,27.801160225421484,98.91603311214976,33.28029864237652,27.122963858810408,21.041496789319822,239.0,314.0267605675121,iso
NGC7793,external_151,46,bulge_rich_hsb,1,7,3.61,7.05,0.861,0.10883579825559349,2.19,1.21,233.79,15.334797391082429,32.078035654560146,18.54991664660275,8.401411256026199,7.236919378940527,6.7341050532754245,13.638070873371236,26.424740428647624,17.149857846348972,6.811309190042908,6.149800631497891,5.743233799601962,13.656796765416239,16.232408309780862,16.64721965230367,6.242700421191941,5.724086054305667,6.330245748428602,0.0,104.32864055525579,burkert
NGC7814,external_151,18,bulge_rich_hsb,1,2,14.4,74.529,1.07,0.014153626370719192,2.08,2.54,2709.13,125.81834057998816,172.74930549540244,97.50870775836694,123.78295888217666,37.819779702804965,61.713635593368366,120.81105241889082,171.8454867739508,92.05856389849922,121.80548684535665,26.828012303646062,52.10437099130625,108.54436264505993,164.86246737861165,80.75232337882727,114.20205421102324,16.81624146251812,42.310365128344884,218.9,127.3049768285116,iso
PGC51017,external_151,6,low_mass_dwarf,3,11,13.6,0.155,0.201,0.5646067415730338,1.28,0.53,15.03,19.73841707641505,5.043607753348993,33.53207890270676,3.493939117169664,5.022390037551924,5.0238776197510155,17.251082418818296,3.5346758093420507,30.56663905351195,3.1411660040832565,3.6745886323072923,3.626441809619323,17.292775949987924,2.3098038029387915,33.39069273362913,3.535217811296249,2.324188807292666,2.1971468503863,18.6,49.17429576535995,nfw
