galaxy,subset,class,N_obs,factor_mean,factor_std,factor_median,factor_min,factor_max,alpha_mean,S_rad_mean
NGC0801,non_calibration_151,bulge_rich_hsb,13,0.5188499367263991,0.3638779698545269,0.4545682074118224,0.1068550032569658,0.9776815078075132,1.1639565038611812,0.5483251294245528
NGC0891,non_calibration_151,bulge_rich_hsb,18,0.4959222444848518,0.3186961323032152,0.4788561207588148,0.0542457821712551,0.9296639600967276,1.2215053263122675,0.5160285028925924
NGC1003,calibration_24,bulge_rich_hsb,36,0.8225714930772895,0.2252550017871128,0.9231242959339574,0.1304872379456632,0.9479888612572592,1.2030823378449185,0.8741314135936635
NGC1090,non_calibration_151,bulge_rich_hsb,24,0.7256743943552534,0.3143445460835804,0.9230645347229948,0.1025549278415914,0.9672329818670966,1.2393787736466575,0.756449048147302
NGC1705,calibration_24,low_mass_dwarf,14,0.5794593209697905,0.3066697614904984,0.687534442331518,0.0248802633044856,0.8907176239024583,1.0248091615534505,0.6463065099922559
NGC2366,non_calibration_151,low_mass_dwarf,26,0.5228989724324838,0.1807841487859126,0.5750045977195352,0.1534722033158453,0.7400707003260172,0.9416120736722012,0.6360182409838863
NGC2403,calibration_24,bulge_rich_hsb,73,0.4741714873619721,0.3695382393602983,0.3161388042361567,0.0193343538356035,0.939351018342654,1.039740214111054,0.5105712190817506
NGC2683,non_calibration_151,bulge_rich_hsb,11,0.7788312578946693,0.318292884204037,0.9615753755842464,0.0947227829838546,0.9703407266460974,1.275710605099312,0.8060698468882591
NGC2841,non_calibration_151,bulge_rich_hsb,50,0.6753560877602116,0.3025641807515087,0.7591888730717216,0.1087079219574695,0.9704269292868968,1.1987076966514565,0.7137276706762233
NGC2903,non_calibration_151,bulge_rich_hsb,34,0.5179267284535819,0.3952887555986024,0.4970323652550977,0.0334588165923869,0.9730184301892428,1.1445056910136624,0.5411279201028883
NGC2915,calibration_24,low_mass_dwarf,30,0.7304624991317572,0.2698369847227362,0.8486329936647794,0.0545420300325015,0.9114242026986582,1.0877723936058417,0.8059555587001863
NGC2955,calibration_24,bulge_rich_hsb,24,0.331310079860532,0.1410128112504294,0.2760653622905888,0.1511572272722184,0.6706087690671099,1.1772849361580138,0.3567833880300144
NGC2976,non_calibration_151,bulge_rich_hsb,27,0.0529567621746188,0.0471611447287189,0.0386356156110006,0.0098582345211277,0.1791288833498546,0.5331516870158657,0.0895910205330544
NGC2998,non_calibration_151,bulge_rich_hsb,13,0.5615651454451274,0.3605233551271981,0.550917487358243,0.121199076161254,0.9717084236392224,1.1814042287983857,0.591626658784064
NGC3109,non_calibration_151,low_mass_dwarf,25,0.6153105839694567,0.1837453198914986,0.6709441309784091,0.2189214211603876,0.8216645847005202,0.840832282705071,0.8227277206169157
NGC3198,non_calibration_151,bulge_rich_hsb,43,0.6227812506997861,0.3242770028332042,0.6086936910829488,0.0977173621609432,0.9674717418379438,1.1606506231332705,0.6638410274154172
NGC3521,non_calibration_151,bulge_rich_hsb,41,0.1864826116189237,0.2219946485023786,0.1183928117376704,0.0200709275284452,0.9342991511812512,0.9717176963726848,0.2087156981968622
NGC3726,non_calibration_151,bulge_rich_hsb,12,0.7309226670896677,0.2749122667789366,0.8507277011757335,0.1947184521399935,0.96414590524185,1.2238662910390423,0.7694805671543957
NGC3741,calibration_24,low_mass_dwarf,21,0.6218166044688895,0.1823116566393984,0.6544563153325933,0.237134960321146,0.8293079562513432,0.7904238130126454,0.8652260064019024
NGC3769,non_calibration_151,bulge_rich_hsb,12,0.558034998011553,0.3336908440332849,0.5894100255445579,0.0724833250550998,0.9546876244059556,1.2222686501437885,0.5813894590714547
NGC3877,non_calibration_151,bulge_rich_hsb,13,0.3969956746105821,0.2877856811814632,0.3533051140667807,0.0462206898485848,0.8483837843244202,1.1112577863222524,0.4241770333350513
NGC3893,non_calibration_151,bulge_rich_hsb,10,0.4867561617658303,0.3071659005381051,0.5122006512423505,0.0564227080766789,0.8510609872384406,1.208815791730912,0.507987159650978
NGC3917,non_calibration_151,bulge_rich_hsb,17,0.7069475015085409,0.2679862775845778,0.835395592191153,0.1752985079349479,0.9416657107246172,1.140151143626798,0.7665126553269817
NGC3949,non_calibration_151,bulge_rich_hsb,7,0.0988386910223075,0.052934426892119,0.0946071256667345,0.0331142361906205,0.1809060514897002,0.905968037285488,0.1213703516720189
NGC3953,non_calibration_151,bulge_rich_hsb,8,0.3732358499868198,0.2088483537784038,0.3543355646183674,0.1001267456722789,0.6907898125624872,1.1643594938772206,0.3984282684892578
NGC3972,non_calibration_151,bulge_rich_hsb,10,0.4819944531725904,0.2861576091465679,0.4984765711598739,0.0857325724664813,0.8558864382952698,1.074436175657087,0.5286987970800769
NGC3992,non_calibration_151,bulge_rich_hsb,9,0.8643784594225179,0.1781321873038618,0.95657701664982,0.4469361330287725,0.9673175497927796,1.2819350253300397,0.8999384977947104
NGC4010,non_calibration_151,bulge_rich_hsb,12,0.5722887344845377,0.2451619787933371,0.6195645394431547,0.1838307474823256,0.8673601536327401,1.1001761221243,0.631127084281414
NGC4013,non_calibration_151,bulge_rich_hsb,36,0.7929147347933699,0.236992723743385,0.9214998140626542,0.1738236698436674,0.9601829483329712,1.226065000975061,0.836374822728508
NGC4051,non_calibration_151,bulge_rich_hsb,7,0.3033963405362248,0.1816515361748386,0.2778178317350293,0.08805066164157,0.5793900169428119,1.1298720378169438,0.3275335595093046
