galaxy,subset,morph_slice,n_points,rmse_c4_4_kms,rmse_nfw_kms,delta_rmse_gmr_minus_nfw_kms,delta_squared_contribution_gmr_minus_nfw,abs_delta_squared_contribution,top5pct_favorable_to_gmr
NGC3917,external_151,bulge_rich_hsb,17,13.414349669798884,25.6590395200646,-12.244689850265715,-478.44153202860355,478.44153202860355,False
NGC3877,external_151,bulge_rich_hsb,13,15.692443676048995,25.705253954652928,-10.012810278603933,-414.50729234722985,414.50729234722985,False
NGC6195,external_151,bulge_rich_hsb,23,76.44859319412639,79.04142940457929,-2.5928362104529015,-403.1601609580639,403.1601609580639,False
NGC5055,calibration_24,bulge_rich_hsb,28,49.83439221926972,52.66277154763264,-2.8283793283629137,-289.9008592141349,289.9008592141349,False
F571-8,external_151,bulge_rich_hsb,13,9.719963049685752,19.490694160006864,-9.770731110321112,-285.40947715166936,285.40947715166936,False
UGC00128,external_151,low_mass_dwarf,22,16.43324938487304,23.393867704130585,-6.960618319257545,-277.2213608129338,277.2213608129338,False
NGC4010,external_151,bulge_rich_hsb,12,6.481057678026927,14.477505033813998,-7.996447355787071,-167.59404337819785,167.59404337819785,False
NGC4085,external_151,bulge_rich_hsb,7,16.166500394885055,20.002695672700707,-3.8361952778156514,-138.75209915686094,138.75209915686094,False
NGC3726,external_151,bulge_rich_hsb,12,27.774951304933783,30.0260023472952,-2.251051042361418,-130.1128969683341,130.1128969683341,False
NGC3521,external_151,bulge_rich_hsb,41,26.306768428036488,28.307838288081385,-2.001069860044897,-109.28764341782903,109.28764341782903,False
F568-3,external_151,ordinary_disk,18,7.539234587520148,12.07332132365264,-4.534086736132493,-88.92502961850548,88.92502961850548,False
NGC2403,calibration_24,bulge_rich_hsb,73,17.31237657572147,19.68967400927269,-2.3772974335512203,-87.96487989183902,87.96487989183902,False
UGC07323,external_151,low_mass_dwarf,10,1.80225212223992,7.576999927673896,-5.774747805433976,-54.16281519185193,54.16281519185193,False
NGC5585,external_151,ordinary_disk,24,3.525101495756688,7.356137415851248,-3.83103592009456,-41.68641712550064,41.68641712550064,False
F565-V2,external_151,low_mass_dwarf,7,6.91860979111629,9.307252179720964,-2.3886423886046737,-38.75778169519043,38.75778169519043,False
UGC06818,external_151,low_mass_dwarf,8,9.087528344008694,10.709765864041264,-1.62223752003257,-32.11591345942213,32.11591345942213,False
UGC04278,external_151,ordinary_disk,25,7.643535151624887,9.449297846705631,-1.8057626950807446,-30.865600181630406,30.865600181630406,False
UGC01281,external_151,low_mass_dwarf,25,3.6768543153477102,6.622643366885662,-2.945789051537952,-30.340147508663577,30.340147508663577,False
NGC0100,external_151,bulge_rich_hsb,21,3.95836813920442,6.653299797776309,-2.6949316585718885,-28.597719873621607,28.597719873621607,False
NGC4068,external_151,low_mass_dwarf,6,3.4133113044646697,5.928845551081559,-2.5155342466168893,-23.50051550739329,23.50051550739329,False
UGC02023,external_151,low_mass_dwarf,5,6.3143245699351125,7.600867661062678,-1.286543091127566,-17.902494426502187,17.902494426502187,False
UGC05414,external_151,low_mass_dwarf,6,2.4791477025764284,4.072169922435099,-1.5930222198586703,-10.436394545995094,10.436394545995094,False
UGC05829,external_151,low_mass_dwarf,11,4.611943472068579,5.546612608292885,-0.934669136224306,-9.494888836917625,9.494888836917625,False
NGC3109,external_151,low_mass_dwarf,25,5.702609951909688,5.811494381258093,-0.10888442934840548,-1.2537066797749787,1.2537066797749787,False
D564-8,external_151,low_mass_dwarf,6,1.3157242086506888,1.6947935260373366,-0.37906931738664773,-1.1411949026685868,1.1411949026685868,False
UGC00891,external_151,low_mass_dwarf,5,6.053576502301767,5.999203670815984,0.0543728314857832,0.6553437852881174,0.6553437852881174,False
NGC3972,external_151,bulge_rich_hsb,10,16.522067614766048,16.501209166911547,0.02085844785450064,0.6888142967353588,0.6888142967353588,False
NGC3741,calibration_24,low_mass_dwarf,21,1.806847829832224,1.4543696927769092,0.3524781370553147,1.1495078769014158,1.1495078769014158,False
UGC06399,external_151,low_mass_dwarf,9,6.242581646565986,6.086421135812778,0.15616051075320758,1.925303371573989,1.925303371573989,False
NGC6503,calibration_24,bulge_rich_hsb,31,11.797688877853108,11.715215624633856,0.08247325321925203,1.9391857269536956,1.9391857269536956,False
UGC06923,external_151,low_mass_dwarf,6,5.737377505058188,5.372249818108884,0.36512768694930386,4.056432527376774,4.056432527376774,False
