series,x_log10_gbar,y_log10_gobs,n_points,residual_vs_official
official_all,-11.26,-10.56,,
official_all,-11.26,-10.56,,
official_all,-11.26,-10.57,,
official_all,-11.26,-10.58,,
official_all,-11.25,-10.59,,
official_all,-11.24,-10.59,,
official_all,-11.23,-10.62,,
official_all,-11.22,-10.63,,
official_all,-11.21,-10.64,,
official_all,-11.2,-10.64,,
official_all,-11.19,-10.65,,
official_all,-11.19,-10.66,,
official_all,-11.21,-10.66,,
official_all,-11.23,-10.66,,
official_all,-10.56,-9.92,,
official_all,-10.66,-9.88,,
official_all,-10.8,-9.91,,
official_all,-10.89,-9.98,,
official_all,-10.95,-10.05,,
official_all,-11.03,-10.1,,
official_all,-11.11,-10.15,,
official_all,-11.15,-10.18,,
official_all,-11.17,-10.21,,
official_all,-11.22,-10.23,,
official_all,-10.77,-10.47,,
official_all,-10.79,-10.44,,
official_all,-10.79,-10.43,,
official_all,-10.79,-10.38,,
official_all,-10.78,-10.34,,
official_all,-10.76,-10.36,,
official_all,-10.79,-10.37,,
official_all,-10.83,-10.39,,
official_all,-10.65,-10.17,,
official_all,-10.82,-10.3,,
official_all,-10.93,-10.39,,
official_all,-11.05,-10.44,,
official_all,-11.12,-10.5,,
official_all,-11.14,-10.55,,
official_all,-10.64,-10.19,,
official_all,-10.74,-10.12,,
official_all,-10.7,-10.42,,
official_all,-10.62,-10.24,,
official_all,-10.66,-10.12,,
official_all,-10.68,-10.18,,
official_all,-10.73,-10.25,,
official_all,-10.78,-10.31,,
official_all,-10.86,-10.36,,
official_all,-10.87,-10.39,,
official_all,-10.9,-10.42,,
official_all,-10.93,-10.45,,
official_all,-10.94,-10.47,,
official_all,-10.97,-10.68,,
official_all,-11.12,-10.75,,
official_all,-11.21,-10.81,,
official_all,-11.34,-10.84,,
official_all,-11.36,-10.89,,
official_all,-11.37,-10.92,,
official_all,-11.38,-10.93,,
official_all,-11.32,-10.97,,
official_all,-11.35,-11.02,,
official_all,-11.42,-11.06,,
official_all,-11.45,-11.1,,
official_all,-11.58,-11.14,,
official_all,-10.89,-10.63,,
official_all,-10.93,-10.61,,
official_all,-10.96,-10.58,,
official_all,-11.0,-10.59,,
official_all,-11.05,-10.61,,
official_all,-11.09,-10.64,,
official_all,-11.14,-10.65,,
official_all,-11.18,-10.65,,
official_all,-11.21,-10.65,,
official_all,-10.61,-10.02,,
official_all,-10.76,-10.1,,
official_all,-10.87,-10.19,,
official_all,-10.92,-10.22,,
official_all,-10.99,-10.28,,
official_all,-11.0,-10.32,,
official_all,-11.0,-10.33,,
official_all,-11.05,-10.36,,
official_all,-11.09,-10.39,,
official_all,-11.09,-10.4,,
official_all,-11.11,-10.46,,
official_all,-11.15,-10.51,,
official_all,-11.18,-10.53,,
official_all,-11.22,-10.57,,
official_all,-11.26,-10.59,,
