galaxy,sbeff_sol_lum_pc2,gas_fraction_proxy,c4_minus_nfw_kms,morph_slice
NGC5585,90.54,0.3638132295719844,-3.83103592009456,ordinary_disk
NGC5907,449.6,0.10702468821583098,-52.51411901697124,bulge_rich_hsb
NGC5985,288.95,0.052588578120319175,-49.65262403739746,bulge_rich_hsb
NGC6015,331.76,0.15367594763322184,-17.612508210691583,bulge_rich_hsb
NGC6195,686.8,0.0507472395705648,-2.5928362104529015,bulge_rich_hsb
NGC6674,560.83,0.1303181683743958,-68.28044023679777,bulge_rich_hsb
NGC6789,59.27,0.1452991452991453,17.39074796382092,low_mass_dwarf
NGC7331,2470.76,0.04228920358581266,5.483041908177228,bulge_rich_hsb
NGC7793,233.79,0.10883579825559349,6.93338613505623,bulge_rich_hsb
NGC7814,2709.13,0.014153626370719192,2.035381697811502,bulge_rich_hsb
PGC51017,15.03,0.5646067415730338,16.244477959245387,low_mass_dwarf
UGC00128,20.36,0.38203691326924066,-6.960618319257545,low_mass_dwarf
UGC00191,50.21,0.4012548550941141,7.1687931192625785,low_mass_dwarf
UGC00634,26.11,0.5506614552014432,0.5509007638882153,low_mass_dwarf
UGC00731,25.63,0.8483568075117371,5.871641682329685,low_mass_dwarf
UGC00891,19.09,0.5336658354114713,0.0543728314857832,low_mass_dwarf
UGC01230,28.63,0.45765124555160136,12.290506113632967,low_mass_dwarf
UGC01281,13.83,0.4544049459041731,-2.945789051537952,low_mass_dwarf
UGC02023,27.59,0.2672268907563025,-1.286543091127566,low_mass_dwarf
UGC02259,47.08,0.2226228030644434,13.305235620471429,low_mass_dwarf
UGC02455,254.0,0.1803683737646002,8.368447563148003,low_mass_dwarf
UGC02487,818.14,0.03536594489661717,-87.2004690066077,bulge_rich_hsb
UGC02885,421.53,0.09034039675383229,-53.59459656094354,ordinary_disk
UGC02916,2425.66,0.1578622495353601,3.866249246806163,bulge_rich_hsb
UGC02953,1544.65,0.02873546011167832,-21.632293745285324,bulge_rich_hsb
UGC03205,587.26,0.07847128179761433,-20.31631991922238,bulge_rich_hsb
UGC03546,2403.42,0.025718433627212507,5.354959441709283,bulge_rich_hsb
UGC04278,34.11,0.4605860503508048,-1.8057626950807446,ordinary_disk
UGC04305,76.71,0.48387096774193544,15.591946546491826,low_mass_dwarf
UGC04325,41.0,0.25073964497041423,21.2252489201133,low_mass_dwarf
UGC04483,29.71,0.7111111111111111,1.1354155722036288,low_mass_dwarf
UGC04499,33.79,0.41478129713423834,4.851106887891256,low_mass_dwarf
UGC05005,25.63,0.43000139024051165,3.0167890177497547,low_mass_dwarf
UGC05253,1488.78,0.08722297290108418,8.82472843516338,bulge_rich_hsb
UGC05414,32.87,0.33824395992928696,-1.5930222198586703,low_mass_dwarf
UGC05716,27.59,0.6504161712247325,4.14552999662913,low_mass_dwarf
UGC05750,6.87,0.24780157835400227,0.3444115753350019,low_mass_dwarf
UGC05829,10.59,0.6446124763705104,-0.934669136224306,low_mass_dwarf
UGC05918,5.36,0.560377358490566,2.8975706868513234,low_mass_dwarf
UGC05986,76.71,0.3622656886715566,4.770620090950052,low_mass_dwarf
UGC05999,22.95,0.37402885682574916,5.27413700716923,low_mass_dwarf
UGC06399,30.82,0.22693602693602696,0.15616051075320758,low_mass_dwarf
UGC06446,37.05,0.5825940008449514,7.898351901010235,ordinary_disk
UGC06614,1461.61,0.14967381939030897,-28.206367568662344,bulge_rich_hsb
UGC06628,34.74,0.2863141820958198,31.974580351118234,low_mass_dwarf
UGC06667,18.06,0.36672710788757934,11.79191594422969,ordinary_disk
UGC06786,992.73,0.06412789882325944,-3.470140186420693,bulge_rich_hsb
UGC06787,1891.6,0.04869972697170962,1.453968126837907,bulge_rich_hsb
UGC06818,56.08,0.40457442819647543,-1.6222375200325683,low_mass_dwarf
UGC06917,53.07,0.22845849802371543,3.298135815655179,low_mass_dwarf
UGC06923,166.28,0.21870775885374424,0.36512768694930386,low_mass_dwarf
UGC06930,73.93,0.2660037800969677,16.95944799713801,ordinary_disk
UGC06983,53.56,0.35898366606170595,9.572921688163177,ordinary_disk
UGC07089,37.4,0.2529693686184622,7.570022295013286,low_mass_dwarf
UGC07125,28.11,0.6305680425010216,34.2729693902917,low_mass_dwarf
UGC07151,76.71,0.21241379310344827,5.24548817163978,bulge_rich_hsb
UGC07232,83.34,0.2893081761006289,6.752411280799726,low_mass_dwarf
UGC07261,39.16,0.4418974848774275,6.386304582878788,low_mass_dwarf
UGC07323,61.49,0.1494514593251915,-5.774747805433975,low_mass_dwarf
UGC07399,113.98,0.391899000526039,28.22578677802474,low_mass_dwarf
UGC07524,29.71,0.4220640569395018,3.6022608872846034,low_mass_dwarf
UGC07559,17.9,0.6079136690647482,1.8347974354030492,low_mass_dwarf
UGC07577,11.94,0.4943820224719101,5.912115477173185,low_mass_dwarf
UGC07603,81.81,0.4069400630914827,7.056781899492249,bulge_rich_hsb
UGC07608,16.48,0.6695869837296621,5.001380856600463,low_mass_dwarf
UGC07690,184.01,0.3125,7.977750216386024,low_mass_dwarf
UGC07866,21.92,0.48760330578512395,1.4493372825282902,low_mass_dwarf
UGC08286,39.52,0.3384290985767001,12.0319901596568,bulge_rich_hsb
UGC08490,124.98,0.4145077720207254,10.92674810556679,low_mass_dwarf
UGC08550,45.38,0.49913344887348354,5.312885579962954,bulge_rich_hsb
UGC08699,2191.95,0.06917098445595855,7.1348326106619595,bulge_rich_hsb
