galaxy,morph_slice,n_points,surface_brightness_proxy,gas_fraction_proxy,luminosity_36e9_sol,delta_rmse_gmr_minus_nfw_kms
UGC05829,low_mass_dwarf,11,10.59,0.6446124763705104,0.564,-0.934669136224306
UGC05918,low_mass_dwarf,8,5.36,0.560377358490566,0.233,2.8975706868513234
UGC05986,low_mass_dwarf,15,76.71,0.3622656886715566,4.695,4.770620090950052
UGC05999,low_mass_dwarf,5,22.95,0.37402885682574916,3.384,5.27413700716923
UGC06399,low_mass_dwarf,9,30.82,0.22693602693602696,2.296,0.15616051075320758
UGC06446,ordinary_disk,17,37.05,0.5825940008449514,0.988,7.898351901010235
UGC06614,bulge_rich_hsb,13,1461.61,0.14967381939030897,124.35,-28.206367568662344
UGC06628,low_mass_dwarf,7,34.74,0.2863141820958198,3.739,31.974580351118234
UGC06667,ordinary_disk,9,18.06,0.36672710788757934,1.397,11.79191594422969
UGC06786,bulge_rich_hsb,45,992.73,0.06412789882325944,73.407,-3.470140186420693
UGC06787,bulge_rich_hsb,71,1891.6,0.04869972697170962,98.256,1.453968126837907
UGC06818,low_mass_dwarf,8,56.08,0.40457442819647543,1.588,-1.6222375200325683
UGC06917,low_mass_dwarf,11,53.07,0.22845849802371543,6.832,3.298135815655179
UGC06923,low_mass_dwarf,6,166.28,0.21870775885374424,2.89,0.36512768694930386
UGC06930,ordinary_disk,10,73.93,0.2660037800969677,8.932,16.95944799713801
UGC06983,ordinary_disk,17,53.56,0.35898366606170595,5.298,9.572921688163177
UGC07089,low_mass_dwarf,12,37.4,0.2529693686184622,3.585,7.570022295013286
UGC07125,low_mass_dwarf,13,28.11,0.6305680425010216,2.712,34.2729693902917
UGC07151,bulge_rich_hsb,11,76.71,0.21241379310344827,2.284,5.24548817163978
UGC07232,low_mass_dwarf,4,83.34,0.2893081761006289,0.113,6.752411280799726
UGC07261,low_mass_dwarf,7,39.16,0.4418974848774275,1.753,6.386304582878788
UGC07323,low_mass_dwarf,10,61.49,0.1494514593251915,4.109,-5.774747805433975
UGC07399,low_mass_dwarf,10,113.98,0.391899000526039,1.156,28.22578677802474
UGC07524,low_mass_dwarf,31,29.71,0.4220640569395018,2.436,3.6022608872846034
UGC07559,low_mass_dwarf,7,17.9,0.6079136690647482,0.109,1.8347974354030492
UGC07577,low_mass_dwarf,9,11.94,0.4943820224719101,0.045,5.912115477173185
UGC07603,bulge_rich_hsb,12,81.81,0.4069400630914827,0.376,7.056781899492249
UGC07608,low_mass_dwarf,8,16.48,0.6695869837296621,0.264,5.001380856600463
UGC07690,low_mass_dwarf,7,184.01,0.3125,0.858,7.977750216386024
UGC07866,low_mass_dwarf,7,21.92,0.48760330578512395,0.124,1.4493372825282902
UGC08286,bulge_rich_hsb,17,39.52,0.3384290985767001,1.255,12.0319901596568
UGC08490,low_mass_dwarf,30,124.98,0.4145077720207254,1.017,10.92674810556679
UGC08550,bulge_rich_hsb,11,45.38,0.49913344887348354,0.289,5.312885579962954
UGC08699,bulge_rich_hsb,41,2191.95,0.06917098445595855,50.302,7.1348326106619595
UGC08837,low_mass_dwarf,8,15.73,0.389768574908648,0.501,2.763090990268437
