galaxy,subset,class,radial_index,radius_m,radius_kpc,v_obs_kms,g_N,A_B,C_B,nu_B,S_Psi,alpha_B,S_rad,sin_alpha_B_S_rad
NGC7331,external_151,bulge_rich_hsb,33,1.0562274361444949e+21,34.23,237.0,1.3506560500533131e-11,0.1173164808340707,0.02456118804581451,0.12366005675624149,0.7969848939482959,1.3646402525386008,0.9705229102660388,0.9499720794477499
NGC7331,external_151,bulge_rich_hsb,34,1.0898613217827509e+21,35.32,241.0,1.1854357761348075e-11,0.10525601053959689,0.02253559977625816,0.11278790679578413,0.7984657865393919,1.3649067133276485,0.9752126007454356,0.9546156240218207
NGC7331,external_151,bulge_rich_hsb,35,1.1204095298395155e+21,36.31,238.0,1.0353733255115773e-11,0.09430200540975371,0.02069584529289964,0.10291320178582744,0.7997346399468839,1.365130379681304,0.9791454196130098,0.9585101281395646
NGC7793,external_151,bulge_rich_hsb,0,3.394245339640504e+18,0.11,9.1,1.030685921843301e-10,0.8336414448656364,2.261614556094442,0.7539143994654134,0.00693064126572487,0.2621650223451722,0.055399704495005746,0.014358063495255658
NGC7793,external_151,bulge_rich_hsb,1,4.3199486140879145e+18,0.14,17.6,1.0255510415075806e-10,0.8259469709974491,2.2424823073258806,0.7518339891411826,0.013747143968414099,0.2731616378350969,0.05599184341791989,0.01510532234965256
NGC7793,external_151,bulge_rich_hsb,2,5.245651888535325e+18,0.17,19.3,1.0204161611718602e-10,0.8182524971292618,2.22335005855732,0.7497535788169517,0.02156088863418927,0.2859297117100992,0.05659422741906498,0.015962375715792676
NGC7793,external_151,bulge_rich_hsb,3,6.47992292113187e+18,0.20999999999999996,24.8,1.0135696540575663e-10,0.8079931986383455,2.1978403935325717,0.7469796983846438,0.029223563858650735,0.2983228638048276,0.05741377950548002,0.01687491811987942
NGC7793,external_151,bulge_rich_hsb,4,7.40562619557928e+18,0.24,30.0,1.008434773721846e-10,0.8002987247701583,2.178708144764011,0.7448992880604131,0.03674630397770916,0.31072707458832216,0.0580410626218381,0.01774611138729675
NGC7793,external_151,bulge_rich_hsb,5,8.639897228175829e+18,0.28,35.0,1.0015882666075521e-10,0.7900394262792418,2.1531984797392627,0.7421254076281052,0.04517099773649132,0.3246018654961844,0.05889478172244213,0.018783399198652004
NGC7793,external_151,bulge_rich_hsb,6,9.874168260772375e+18,0.32,38.3,9.947417594932582e-11,0.7797801277883255,2.127688814714515,0.7393515271957974,0.05239573688971931,0.3365219881152226,0.05976893421276864,0.019736070839299857
NGC7793,external_151,bulge_rich_hsb,7,1.0799871535219784e+19,0.35,42.7,9.896068791575378e-11,0.7720856539201383,2.108556565945954,0.7372711168715665,0.05949209082314415,0.3483885192020524,0.06043837691673254,0.02063266958948579
NGC7793,external_151,bulge_rich_hsb,8,1.2034142567816331e+19,0.38999999999999996,47.0,9.827603720432439e-11,0.761826355429222,2.083046900921206,0.7344972364392587,0.06645684204246444,0.3600283425033084,0.06134998712550014,0.021613647016218734
NGC7793,external_151,bulge_rich_hsb,9,1.295984584226374e+19,0.41999999999999993,49.8,9.776254917075235e-11,0.7541318815610347,2.0639146521526452,0.7324168261150279,0.07329990460551197,0.37157405327321424,0.06204837243218408,0.022528679194501133
NGC7793,external_151,bulge_rich_hsb,10,1.419411687486029e+19,0.46,52.2,9.707789845932295e-11,0.7438725830701183,2.038404987127897,0.72964294568272,0.08001802071818283,0.382949319870779,0.06299975265286102,0.02354034779763463
NGC7793,external_151,bulge_rich_hsb,11,1.51198201493077e+19,0.49,53.4,9.656441042575092e-11,0.736178109201931,2.0192727383593363,0.7275625353584891,0.08662068792788383,0.3941904051265459,0.06372888435174578,0.024475766912222117
NGC7793,external_151,bulge_rich_hsb,12,1.6354091181904247e+19,0.53,54.6,9.587975971432153e-11,0.7259188107110147,1.9937630733345881,0.7247886549261814,0.09310461822213686,0.4053164709971936,0.06472253729762235,0.025520718432710834
NGC7793,external_151,bulge_rich_hsb,13,1.7279794456351658e+19,0.56,55.5,9.53662716807495e-11,0.7182243368428274,1.9746308245660273,0.7227082446019505,0.09947892076070067,0.41626871235063484,0.06548436921450473,0.026478645616915777
NGC7793,external_151,bulge_rich_hsb,14,1.8514065488948204e+19,0.6,55.9,9.46816209693201e-11,0.7079650383519112,1.9491211595412792,0.7199343641696427,0.10574028607495521,0.4271605005791845,0.06652300789465505,0.027559691718761315
